"Date","Open","low","close","high_to_low","open_to_close","high"
"Date","Open","High","Low","Close","",""
"(High-Low)","","","","","(Open-Close)",""
"2021-12-31","35114.40","35113.75","35481.70","483.20","-367.30","35596.95"
"2021-12-30","34977.65","34751.25","35063.60","427.80","-85.95","35179.05"
"2021-12-29","35168.85","34890.80","35045.40","487.50","123.45","35378.30"
"2021-12-28","35308.30","35037.90","35183.80","314.50","124.50","35352.40"
"2021-12-27","34573.65","34233.00","35057.90","910.70","-484.25","35143.70"
"2021-12-24","35282.20","34583.40","34857.05","744.55","425.15","35327.95"
"2021-12-23","35350.50","35046.25","35191.15","431.05","159.35","35477.30"
"2021-12-22","34865.25","34687.60","35029.50","424.50","-164.25","35112.10"
"2021-12-21","34863.35","34389.95","34607.85","660.05","255.50","35050.00"
"2021-12-20","35124.35","34018.45","34439.85","1,212.65","684.50","35231.10"
"2021-12-17","36491.80","35535.05","35618.65","1,015.70","873.15","36550.75"
"2021-12-16","37092.95","36385.75","36548.65","773.55","544.30","37159.30"
"2021-12-15","36929.50","36743.20","36789.55","340.30","139.95","37083.50"
"2021-12-14","36778.95","36545.40","36893.95","493.65","-115.00","37039.05"
"2021-12-13","37358.20","36861.90","36925.25","719.15","432.95","37581.05"
"2021-12-10","37083.15","36824.40","37105.65","328.85","-22.50","37153.25"
"2021-12-09","37331.75","36884.45","37082.45","513.10","249.30","37397.55"
"2021-12-08","37052.75","36905.15","37284.70","479.65","-231.95","37384.80"
"2021-12-07","36086.95","36013.95","36618.40","806.75","-531.45","36820.70"
"2021-12-06","36252.75","35696.75","35735.90","647.80","516.85","36344.55"
"2021-12-03","36497.30","36062.85","36197.15","781.15","300.15","36844.00"
"2021-12-02","36281.85","36166.70","36508.25","396.80","-226.40","36563.50"
"2021-12-01","35902.90","35805.00","36364.90","640.35","-462.00","36445.35"
"2021-11-30","35958.80","35526.35","35695.30","1,247.85","263.50","36774.20"
"2021-11-29","36224.45","35327.90","35976.45","1,019.95","248.00","36347.85"
"2021-11-26","36830.90","35904.10","36025.50","964.80","805.40","36868.90"
"2021-11-25","37362.05","37118.40","37364.75","389.55","-2.70","37507.95"
"2021-11-24","37384.75","37238.05","37441.95","653.85","-57.20","37891.90"
"2021-11-23","36787.00","36647.55","37272.80","801.20","-485.80","37448.75"
"2021-11-22","38232.15","36655.40","37128.80","1,585.60","1,103.35","38241.00"
"2021-11-18","38071.90","37748.45","37976.25","485.50","95.65","38233.95"
"2021-11-17","38113.40","37981.20","38041.55","475.10","71.85","38456.30"
"2021-11-16","38710.90","38211.10","38307.10","513.60","403.80","38724.70"
"2021-11-15","38849.45","38606.60","38702.35","510.55","147.10","39117.15"
