"Date","Open","low","close","high"
"Date","Open","High","Low",""
"2022","35585.20","32155.35","37491.40","39424.85"
"2021","31297.30","29687.70","35481.70","41829.60"
"2020","32237.90","16116.25","31264.05","32465.45"
"2019","27231.40","26441.55","32161.65","32613.10"
"2018","25565.75","23605.60","27160.20","28388.65"
"2017","18242.30","17830.95","25539.45","25953.50"
"2016","16932.50","13407.25","18177.20","20575.80"
"2015","18728.20","15762.20","16922.20","20907.55"
"2014","11418.90","9944.00","18736.65","18923.60"
"2013","12549.95","8366.75","11385.25","13414.30"
"2012","8009.85","7888.25","12474.25","12571.60"
"2011","11882.10","7766.35","7968.65","11978.05"
"2010","9031.90","8150.45","11791.45","13303.60"
"2009","5019.20","3314.55","9029.50","9630.35"
"2008","9819.50","3799.35","5001.55","10774.15"
"2007","6015.15","4837.25","9863.45","10124.75"
"2006","4566.95","3408.95","6008.75","6595.85"
"2005","3600.90","3518.95","4534.20","4704.45"
