"Date","Open","low","close","high"
"Date","Open","High","Low",""
"Jan 2022","35585.20","35526.60","37975.35","38855.55"
"Dec 2021","35902.90","34018.45","35481.70","37581.05"
"Nov 2021","39432.15","35327.90","35695.30","40160.20"
"Oct 2021","37140.40","36876.35","39115.60","41829.60"
"Sep 2021","36591.45","36151.95","37425.10","38377.25"
"Aug 2021","34760.90","34588.25","36424.60","36552.80"
"July 2021","34866.00","34115.20","34584.35","35985.25"
"June 2021","35639.75","33908.95","34772.20","35810.90"
"May 2021","32368.55","31906.55","35526.65","35584.30"
"Apr 2021","33588.00","30405.65","32781.80","34287.00"
"Mar 2021","35374.25","32415.25","33303.90","36497.35"
"Feb 2021","30976.35","30906.45","34803.60","37708.75"
"Jan 2021","31297.30","29687.70","30565.50","32842.30"
"Dec 2020","29844.80","28976.75","31264.05","31510.25"
"Nov 2020","24367.60","24120.60","29609.05","30197.85"
"Oct 2020","21685.25","21664.15","23900.90","24823.60"
"Sep 2020","23893.80","20404.90","21451.80","24199.65"
"Aug 2020","21543.80","21031.45","23754.35","25232.60"
"July 2020","21354.10","21027.85","21640.05","23211.35"
"June 2020","19728.90","19507.05","21370.15","22479.55"
"May 2020","20514.75","17105.00","19297.25","20530.45"
"Apr 2020","19122.40","17143.20","21534.50","21967.00"
"Mar 2020","29701.00","16116.25","19144.00","29791.15"
"Feb 2020","30726.20","29051.50","29147.15","31649.45"
"Jan 2020","32237.90","30521.30","30833.60","32465.45"
"Dec 2019","32008.30","30996.40","32161.65","32613.10"
"Nov 2019","30196.15","30013.65","31946.10","32157.05"
"Oct 2019","29226.15","27568.35","30066.25","30415.65"
"Sep 2019","27239.20","26641.35","29103.15","30801.30"
"Aug 2019","28660.50","26560.60","27427.85","28819.70"
"July 2019","31271.00","28529.75","28876.00","31660.75"
"June 2019","31406.05","30220.70","31105.20","31752.70"
"May 2019","29699.80","28525.45","31375.40","31783.60"
"Apr 2019","30537.60","29435.05","29764.80","30669.80"
"Mar 2019","26941.00","26928.90","30426.80","30499.15"
"Feb 2019","27334.55","26617.70","26789.90","27589.75"
"Jan 2019","27231.40","26441.55","27295.45","27754.45"
"Dec 2018","27032.90","25598.95","27160.20","27369.10"
"Nov 2018","25285.20","25129.45","26862.95","27012.70"
"Oct 2018","24943.90","24240.05","25153.25","25915.35"
"Sep 2018","28199.45","24678.25","25119.85","28203.20"
"Aug 2018","27684.80","27327.95","28061.75","28388.65"
"July 2018","26364.45","26060.60","27764.15","27873.70"
"June 2018","26913.40","26069.55","26364.20","27047.55"
"May 2018","25607.05","25469.05","26956.20","27164.55"
"Apr 2018","24235.65","24062.95","25531.60","25617.50"
"Mar 2018","25022.35","23605.60","24263.35","25226.05"
"Feb 2018","27334.85","24781.70","25107.40","27613.50"
"Jan 2018","25565.75","25232.80","27379.45","27652.05"
"Dec 2017","25409.55","24617.15","25539.45","25780.05"
"Nov 2017","25197.30","25119.50","25332.40","25953.50"
"Oct 2017","24200.60","23912.55","25019.35","25186.05"
"Sep 2017","24389.20","23611.10","24053.00","25105.35"
"Aug 2017","25152.85","23822.20","24318.40","25198.80"
"July 2017","23240.35","23144.30","25103.65","25168.10"
"June 2017","23394.10","22996.40","23211.20","23897.85"
"May 2017","22412.55","22240.05","23424.80","23469.45"
"Apr 2017","21539.20","21386.20","22358.25","22383.00"
"Mar 2017","20698.90","20423.35","21444.15","21696.00"
"Feb 2017","19522.40","19470.95","20607.25","21042.35"
"Jan 2017","18242.30","17830.95","19515.15","19794.95"
